geo,TIME_PERIOD,Passengers_Mil_KM,km_railways,population,GDP_Capita,area,cars_per_capita,fuel_price,passengers_per_capita,passengers_per_km_rail,rail_density,pop_density,gdp_per_km_rail
Belgium,2007,9403.0,3568.0,10584534.0,39950.0,30528.0,473.0,1.3198008163265307,888.3716562297404,2635369.9551569507,0.11687631027253668,346.71560534591197,11.196748878923767
Belgium,2008,10139.0,3513.0,10666866.0,39810.0,30528.0,477.0,1.4177234693877552,950.5134872792065,2886137.2046683747,0.1150746855345912,349.4125393081761,11.332194705380017
Belgium,2009,10237.0,3578.0,10753080.0,38740.0,30528.0,479.0,1.240421,952.006308890104,2861095.5841252096,0.1172038784067086,352.2366352201258,10.827277808831749
Belgium,2010,10498.0,3582.0,10839905.0,39420.0,30528.0,480.0,1.4007326530612245,968.4586719164051,2930764.9357900615,0.11733490566037735,355.0807455450734,11.00502512562814
Belgium,2011,10669.0,3587.0,11000638.0,39670.0,30528.0,488.0,1.5445285714285715,969.8528394444031,2974351.8260384724,0.11749868972746332,360.3458464360587,11.059381098410928
Belgium,2013,10595.0,3595.0,11137974.0,39440.0,30528.0,492.0,1.582044081632653,951.2502004404032,2947148.8178025037,0.11776074423480083,364.84453616352204,10.970792767732963
Belgium,2014,10974.0,3631.0,11180840.0,39960.0,30528.0,497.0,1.5342485714285714,981.5004954904998,3022307.904158634,0.1189399895178197,366.24868972746333,11.005232718259432
Belgium,2015,10333.0,3607.0,11237274.0,40310.0,30528.0,501.0,1.3658259183673471,919.5290601617438,2864707.5131688383,0.11815382599580712,368.0972877358491,11.175492098696978
Belgium,2016,10025.0,3602.0,11311117.0,40590.0,30528.0,505.0,1.2633166,886.2961986866549,2783176.01332593,0.11799004192872117,370.5161491090147,11.268739589117157
Belgium,2017,10167.0,3605.0,11351727.0,41030.0,30528.0,509.0,1.3504262,895.6346466048734,2820249.653259362,0.11808831236897274,371.84640330188677,11.38141470180305
Belgium,2018,10500.0,3607.0,11398589.0,41610.0,30528.0,511.0,1.4031836000000002,921.1666461524317,2911006.376490158,0.11815382599580712,373.3814530922432,11.535902411976712
Belgium,2019,10849.0,3614.0,11455519.0,42400.0,30528.0,510.0,1.391061224489796,947.054428524801,3001936.9120088546,0.11838312368972746,375.24629848008385,11.732152739346985
Belgium,2020,7397.0,3615.0,11522440.0,40190.0,30528.0,510.0,1.2775436,641.9647227496954,2046196.4038727523,0.11841588050314465,377.4384171907757,11.117565698478561
Belgium,2021,6970.0,3612.0,11554767.0,42530.0,30528.0,510.0,1.4857632653061226,603.2142404948538,1929678.8482834995,0.11831761006289308,378.49734669811323,11.774640088593577
Bulgaria,2006,2411.0,4146.0,7629371.0,6220.0,110370.0,233.0,,316.01556668302015,581524.3608297154,0.037564555585757,69.12540545438073,1.5002411963338158
Bulgaria,2007,2404.0,4143.0,7572673.0,6670.0,110370.0,277.0,,317.45725716665703,580255.8532464398,0.03753737428649089,68.61169701911751,1.6099444846729423
Bulgaria,2008,2317.0,4144.0,7518002.0,7110.0,110370.0,317.0,1.0219830612244898,308.1935865406793,559121.6216216217,0.037546434719579594,68.1163540817251,1.7157335907335907
Bulgaria,2009,2138.0,4150.0,7467119.0,6910.0,110370.0,337.0,0.8819056000000001,286.3219402288888,515180.7228915663,0.037600797318111806,67.6553320648727,1.6650602409638555
Bulgaria,2010,2090.0,4098.0,7421766.0,7060.0,110370.0,353.0,1.0185214285714286,281.6041357272649,510004.8804294778,0.03712965479749932,67.24441424300082,1.7227916056612982
Bulgaria,2011,2059.0,4072.0,7369431.0,7390.0,110370.0,368.0,1.1681428571428571,279.39741887806537,505648.3300589391,0.036894083537193076,66.77023647730361,1.8148330058939097
Bulgaria,2012,1870.0,4070.0,7327224.0,7530.0,110370.0,385.0,1.2782304081632654,255.21261530969983,459459.45945945947,0.03687596267101567,66.38782277792879,1.8501228501228502
Bulgaria,2013,1821.0,4032.0,7202556.0,7600.0,110370.0,409.0,1.317534,252.82691311251173,451636.90476190473,0.03653166621364501,65.25827670562653,1.8849206349206349
Bulgaria,2014,1698.0,4023.0,7117453.0,7770.0,110370.0,429.0,1.2768363265306122,238.5684879127407,422073.0797912006,0.0364501223158467,64.48720666847875,1.9313944817300521
Bulgaria,2015,1549.0,4019.0,7029690.0,8130.0,110370.0,456.0,1.1029548979591837,220.3511107886692,385419.2585220204,0.03641388058349189,63.69203587931503,2.0228912664842
Bulgaria,2016,1455.0,4029.0,6938759.0,8490.0,110370.0,459.0,0.9838294000000001,209.69167541342767,361131.7944899479,0.03650448491437891,62.8681616381263,2.1072226358897987
Bulgaria,2017,1434.0,4030.0,6849518.0,8840.0,110370.0,410.0,1.0259268,209.35779714718612,355831.26550868485,0.03651354534746761,62.05959952885748,2.193548387096774
Bulgaria,2018,1476.0,4030.0,6757418.0,9170.0,110370.0,416.0,1.0982826,218.42662389687897,366253.1017369727,0.03651354534746761,61.225133641388055,2.2754342431761785
Bulgaria,2019,1520.0,4030.0,6664177.0,9650.0,110370.0,431.0,1.0842144897959185,228.08517840987716,377171.2158808933,0.03651354534746761,60.38032979976443,2.3945409429280398
Bulgaria,2020,1118.0,4029.0,6569275.0,9440.0,110370.0,439.0,0.9311896000000001,170.18620776265266,277488.21047406306,0.03650448491437891,59.52047657878047,2.3430131546289403
Bulgaria,2021,1203.0,4031.0,6532117.0,10250.0,110370.0,437.0,1.075895306122449,184.16694005940187,298437.1123790623,0.036522605780556314,59.18380900607049,2.542793351525676
Bulgaria,2022,1600.0,4029.0,6482484.0,10740.0,110370.0,449.0,1.4637311764705883,246.81896630982814,397120.8736659221,0.03650448491437891,58.73411253057896,2.665673864482502
Bulgaria,2023,1592.0,4029.0,6447710.0,10950.0,110370.0,466.0,1.337706470588235,246.90936782206396,395135.26929759246,0.03650448491437891,58.41904503035245,2.717795979151154
Bulgaria,2024,1498.0,4025.0,6445481.0,11330.0,110370.0,484.0,1.3106739682646873,232.41089377193106,372173.9130434783,0.0364682431820241,58.398849324997734,2.8149068322981368
Croatia,2004,1169.0,2726.0,4305725.0,10570.0,56594.0,308.0,,271.49899262029044,428833.45561261923,0.048167650280948514,76.08094497649928,3.877476155539252
Croatia,2005,1227.0,2726.0,4310861.0,11020.0,56594.0,319.0,,284.6299149984191,450110.0513573001,0.048167650280948514,76.17169664628759,4.042553191489362
Croatia,2006,1322.0,2722.0,4312487.0,11570.0,56594.0,331.0,,306.5516487354049,485672.29977957386,0.048096971410396865,76.20042760716684,4.250551065393093
Croatia,2007,1573.0,2722.0,4313530.0,12160.0,56594.0,350.0,,364.66652602392935,577883.9088905216,0.048096971410396865,76.21885712266318,4.46730345334313
Croatia,2008,1769.0,2722.0,4311967.0,12400.0,56594.0,360.0,,410.2536035178377,649889.7869213814,0.048096971410396865,76.19123935399513,4.555473916238061
Croatia,2009,1802.0,2722.0,4309796.0,11570.0,56594.0,358.0,,418.1172380316841,662013.2255694342,0.048096971410396865,76.15287839700322,4.250551065393093
Croatia,2010,1711.0,2722.0,4302847.0,11440.0,56594.0,355.0,,397.64369962492276,628581.9250551065,0.048096971410396865,76.03009152913737,4.20279206465834
Croatia,2011,1457.0,2722.0,4289857.0,11470.0,56594.0,355.0,,339.6383609057365,535268.185157972,0.048096971410396865,75.80056189702088,4.213813372520206
Croatia,2012,1080.0,2722.0,4275984.0,11270.0,56594.0,339.0,,252.5734427444069,396767.0830271859,0.048096971410396865,75.55542990423012,4.140337986774431
Croatia,2013,935.0,2722.0,4247803.0,11340.0,56594.0,343.0,1.3688023999999999,220.1137858794299,343497.4283614989,0.048096971410396865,75.05747959147612,4.166054371785452
Croatia,2014,917.0,2604.0,4217632.0,11370.0,56594.0,353.0,1.3820991836734693,217.42058102745807,352150.5376344086,0.046011944729123226,74.52436654062268,4.3663594470046085
Croatia,2015,941.0,2604.0,4180915.0,11760.0,56594.0,363.0,1.2594518367346939,225.07034943307863,361367.12749615975,0.046011944729123226,73.87558751811146,4.516129032258065
Croatia,2016,827.0,2604.0,4131115.0,12320.0,56594.0,381.0,1.1834938,200.18808481487443,317588.32565284177,0.046011944729123226,72.99563557974344,4.731182795698925
Croatia,2017,736.0,2604.0,4078769.0,12910.0,56594.0,398.0,1.2665072000000002,180.44660043263053,282642.089093702,0.046011944729123226,72.07069654026928,4.957757296466974
Croatia,2018,747.0,2604.0,4014341.0,13460.0,56594.0,420.0,1.3556758,186.08284647467667,286866.3594470046,0.046011944729123226,70.93227197229388,5.168970814132105
Croatia,2019,724.0,2617.0,3968676.0,14020.0,56594.0,439.0,1.340548163265306,182.42859835370788,276652.65571264806,0.046241651058416086,70.12538431635862,5.357279327474207
Croatia,2020,448.0,2617.0,3933511.0,12980.0,56594.0,449.0,1.2038004,113.89316058859376,171188.3836453955,0.046241651058416086,69.50402869562144,4.95987772258311
Croatia,2021,538.0,2617.0,3893026.0,14750.0,56594.0,465.0,1.406976530612245,138.19584045932393,205578.90714558656,0.046241651058416086,68.78867017705058,5.636224684753534
Croatia,2022,812.0,2617.0,3862305.0,15900.0,56594.0,478.0,1.6045325490196078,210.23715113125454,310278.9453572793,0.046241651058416086,68.24583878149627,6.07565915170042
Croatia,2023,1142.0,2617.0,3850894.0,16490.0,56594.0,495.0,1.4909940384615383,296.55451435432917,436377.53152464656,0.046241651058416086,68.04420963353006,6.3011081390905614
